img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_6450294AmericaFrontccc.jpg,Imagine: Master Chef,DS,Simulation,Ubisoft,MTO,,1.47,0.39,,0.91,0.17,23/10/07,
/games/boxart/728714ccc.jpg,Midway Arcade Treasures,PS2,Misc,Midway Games,Digital Eclipse,,1.46,0.72,,0.56,0.19,18/11/03,
/games/boxart/7417741ccc.jpg,WCW vs the World,PS,Fighting,THQ,Aki Corp.,,1.46,1.17,0.04,0.2,0.05,28/02/98,
/games/boxart/1025413ccc.jpg,Wall-E,DS,Platform,THQ,Heavy Iron Studios,,1.46,0.46,0,0.82,0.17,24/06/08,
/games/boxart/3801642ccc.jpg,The SpongeBob SquarePants Movie,GBA,Action,THQ,WayForward,,1.46,1.02,,0.38,0.06,27/10/04,
/games/boxart/full_5467225AmericaFrontccc.jpg,Mortal Kombat 4,PS,Fighting,Midway Games,Eurocom Entertainment Software,,1.46,0.81,,0.55,0.1,24/06/98,
/games/boxart/full_8904735AmericaFrontccc.jpg,Battlefield: Bad Company,X360,Shooter,Electronic Arts,EA Digital Illusions CE,8.6,1.46,0.81,0.04,0.46,0.15,23/06/08,
/games/boxart/full_2391793PALFrontccc.jpg,Mass Effect 3,PS3,Role-Playing,Electronic Arts,BioWare,8.9,1.46,0.65,0.03,0.58,0.2,06/03/12,
/games/boxart/full_1129980AmericaFrontccc.jpeg,Triple Play 99,PS,Sports,EA Sports,Treyarch,,1.46,0.81,,0.55,0.1,28/02/98,02/01/18
/games/boxart/full_the-sims-3_7AmericaFront.jpg,The Sims 3,Wii,Simulation,Electronic Arts,The Sims Studio,,1.46,0.61,,0.7,0.15,15/11/10,
/games/boxart/full_2408125AmericaFrontccc.jpg,Forza Horizon 2,XOne,Racing,Microsoft Studios,Playground Games,,1.46,0.56,0.01,0.79,0.11,30/09/14,24/03/18
/games/boxart/full_mass-effect-2_759AmericaFront.jpg,Mass Effect 2,PS3,Role-Playing,Electronic Arts,BioWare Edmonton,9.3,1.46,0.78,0.03,0.46,0.18,18/01/11,
/games/boxart/full_homefront_444AmericaFront.jpg,Homefront,X360,Shooter,THQ,Kaos Studios,6.7,1.46,0.83,0.02,0.48,0.12,15/03/11,
/games/boxart/full_4383288AmericaFrontccc.jpg,Super Monkey Ball,GC,Puzzle,Sega,Amusement Vision,9,1.46,0.95,0.1,0.37,0.04,17/11/01,
/games/boxart/9182544ccc.jpg,Donkey Kong,2600,Platform,Coleco,Nintendo,,1.46,1.36,,0.08,0.02,01/01/82,
/games/boxart/full_966855AmericaFrontccc.jpg,Tony Hawk's American Wasteland (Weekly american sales),PS2,Sports,Activision,Neversoft Entertainment,,1.45,1.38,,0.05,0.02,18/10/05,
/games/boxart/7620922ccc.jpg,Red Dead Revolver,PS2,Shooter,Rockstar Games,Rockstar San Diego,,1.45,0.71,,0.55,0.19,03/05/04,
/games/boxart/full_2011970AmericaFrontccc.jpg,Doom (2016),XOne,Shooter,Bethesda Softworks,id Software,,1.45,0.76,,0.57,0.13,13/05/16,
/games/boxart/full_5244344JapanFrontccc.jpg,Game de Hakken!! Tamagotchi 2,GB,Simulation,Bandai,Tom Create,,1.45,,1.44,,0.01,17/10/97,
/games/boxart/5990330ccc.jpg,The House of the Dead 2 & 3 Return,Wii,Shooter,Sega,Sega,6.5,1.45,0.77,0.03,0.5,0.15,11/03/08,
/games/boxart/full_8940693AmericaFrontccc.jpg,Sonic & SEGA All-Stars Racing,Wii,Racing,Sega,Sumo Digital,7.9,1.45,0.61,,0.69,0.15,23/02/10,
/games/boxart/full_42836AmericaFrontccc.jpg,Tamagotchi,GB,Simulation,Bandai,Tom Create,,1.45,,1.44,,0.01,26/06/97,
/games/boxart/full_2518506JapanFrontccc.jpg,Dragon Ball Z,SNES,Fighting,Bandai,TOSE,,1.45,,1.45,,0,01/01/99,
/games/boxart/9147705ccc.jpg,Sega Genesis Collection,PSP,Misc,Sega,Sega,8.3,1.45,0.53,,0.58,0.34,16/11/06,
/games/boxart/8550804ccc.jpg,Namco Museum 64,N64,Misc,Namco,Mass Media,,1.45,1.24,0.03,0.17,0.01,31/10/99,
/games/boxart/7944449ccc.jpg,Sonic Rivals,PSP,Racing,Sega,Backbone Entertainment,7,1.44,0.73,,0.43,0.28,16/11/06,
